flower_name;description
Turuncu Dalya;Turuncu tonlardaki gösterişli çiçekleriyle yaz sonu bahçelerine renk katar.
Pembe Sarı Dalya;Pembe ve sarı tonlarının karıştığı büyük çiçekleriyle göz alıcı bir dahlia türüdür.
Cautleya Spicata;Egzotik görünümlü, sarı-kırmızı çiçekleriyle bahçelere tropikal bir hava katar.
Japon Dağ Lalesi ;Sonbaharda açan zarif pembe veya beyaz çiçekleriyle gölge bahçelerin favorilerindendir.
Güneş Şapkası;Parlak sarı yaprakları ve koyu merkeziyle yaz bahçelerinde sıkça rastlanan dayanıklı bir bitkidir.
Gümüş Çalısı;Gümüşi yaprakları ve beyaz çiçekleriyle kuraklığa dayanıklı, gösterişli bir çalı türüdür.
Acem Lalesi;Turuncu çiçekleriyle Kaliforniya’nın simgesi olan, neşeli ve dayanıklı bir kır çiçeğidir.
Kır papatyası;Afrika menşeli bu çiçek, papatyaya benzer görünümüyle saksılarda ve bahçelerde sıkça yer bulur.
Bahar Çiğdemi;İlkbaharın müjdecisi olan bu çiçek, mor, beyaz veya sarı tonlarında açar.
Alman Süseni;"Renkli ve dalgalı yapraklarıyla dikkat çeker; baharda açan göz alıcı bir süsendir."
Rüzgar Çiçeği;Rüzgarda hafifçe salınan narin çiçekleriyle tanınan kırılgan ama zarif bir bitkidir.
Romneya Coulteri ;Büyük, sarı çiçekleriyle çalı formunda büyüyen etkileyici bir peyzaj bitkisidir.
Koyun Gözü Çiçeği;Güneş açtıkça çiçeklenen, parlak renkli yapraklara sahip sıcak iklim bitkisidir.
Orman gülü;Yoğun çiçek açan ve bahar aylarında renk cümbüşü yaratan bir süs çalısıdır.
Nilüfer ;Göl ve havuz yüzeylerinde açan zarif çiçekleriyle su bahçelerinin yıldızıdır.
Gül;Sevginin simgesi olan gül, farklı renk ve kokularıyla dünyanın en sevilen çiçeğidir.
Boru Çiçeği;Beyaz boru şeklindeki çiçekleriyle dikkat çeken, fakat zehirli olan bir bitkidir.
Gündüz Sefası;Sabah saatlerinde açan mavi-mor çiçekleriyle tırmanıcı yapıya sahip bir bitkidir.
Çarkıfelek;Egzotik yapısıyla mistik anlamlar taşıyan ve meyve de veren gösterişli bir çiçektir.
Hint lotusu;Çamurlu sularda bile açan, ruhsal temizlik ve güzellik sembolü olan kutsal bir çiçektir.
Tüylü Kurbağa Zambağı ;Benekli çiçekleriyle gölgede açan, orkideleri andıran egzotik bir türdür.
Antoryum;Kalp şeklinde yaprakları ve parlak çiçekleriyle iç mekânlarda sık tercih edilir.
Plumeria ;Tropikal bölgelerde yetişen, hoş kokulu ve yumuşak renkli çiçekleriyle bilinir.
Akasma;Tırmanıcı yapıya sahip bu bitki, geniş ve gösterişli çiçekleriyle duvarları süsler.
Hibiscus;Büyük ve canlı renkli çiçekleriyle yaz aylarının vazgeçilmez süs bitkisidir.
Hasekiküpesi ;İnce, uzun mahmuzları olan çiçekleriyle zarif bir görünüm sunar.
Çöl Gülü;Etli gövdesi ve pembe çiçekleriyle kuraklığa dayanıklı dekoratif bir sukulenttir.
Ebegümeci;Geniş çiçekleri ve odunsu yapısıyla bahçelerde çalı formunda yetişir.
Manolya ;Büyük beyaz veya pembe çiçekleriyle baharın zarafetini simgeler.
Siklamen;Kışın açan ters dönük çiçekleri ve desenli yapraklarıyla saksılarda çok sevilir.
Su Teresi;Genellikle yemeklerde kullanılan, su kenarlarında yetişen küçük beyaz çiçekli bitkidir.
Kana Çiçeği;Büyük yaprakları ve ateşli renklerdeki çiçekleriyle tropikal bahçeleri süsler.
 Güzel Hatun Çiçeği ;Genellikle yılbaşı zamanı açan, iri ve gösterişli çiçeklere sahip bir soğanlı bitkidir.
Arı Otu;Arıların ve kelebeklerin ilgisini çeken, kırmızı ve mor tonlarında çiçekler açan aromatik bir bitkidir.
Top Yosunu;Ağaç dallarına tutunan, top şeklinde gri-yeşil yapısıyla dikkat çeken bir epifit bitkidir.
Yüksükotu;Boru biçimindeki mor, pembe ya da beyaz çiçekleriyle dik büyüyen ve zehirli olan bir çiçektir.
Begonvil Sarmaşığı;Renkli brakteleriyle tropik ve sıcak bölgelerde çit ve duvarları süsleyen sarmaşık türüdür.
Kamelya;Kış sonunda açan dolgun çiçekleriyle çaygiller ailesinden gelen zarif bir süs bitkisidir.
Ebegümeci ;Mor tonlarındaki çiçekleriyle doğal alanlarda kendiliğinden yetişebilen hoş bir kır bitkisidir.
Meksika Petunyası;Mavi-mor çiçekleriyle tropik bölgelerde yetişen, hızlı büyüyen bir çalı türüdür.
 Bromelya;Tropik iklimlerde yetişen, renkli yaprakları ve çiçekleriyle iç mekân süslemelerinde sıkça kullanılır.
 Gayret Çiçeği;Sarı ve kırmızı tonlarının birleştiği sıcak renkteki çiçekleriyle uzun süre çiçekli kalır.
Acemborusu ;Turuncu boru şeklindeki çiçekleriyle duvarlara tırmanan gösterişli bir sarmaşık türüdür.
Böğürtlen Zambağı ;Çiçekleri zambaklara, meyvesi ise böğürtlene benzeyen ilginç bir bitkidir.
